Фраза;2025-01-01;2025-02-01;2025-03-01;2025-04-01;2025-05-01;2025-06-01;2025-07-01;2025-08-01;2025-09-01;2025-10-01;2025-11-01;2025-12-01;2026-01-01;2026-02-01;2026-03-01;2026-04-01
"как циркулирует горячая вода в многоквартирном доме";13;12;0;0;0;9;12;0;18;19;13;14;18;0;19;0
"нужна ли рециркуляция гвс в частном доме";18;9;16;0;7;9;8;10;8;19;10;4;11;16;19;0
"система горячего водоснабжения с рециркуляцией";32;47;27;43;30;57;139;173;101;58;18;20;18;25;18;35
"схема рециркуляции горячей воды от водонагревателя";26;21;23;18;7;7;15;16;13;13;0;0;14;6;13;9
"как сделать циркуляцию горячей воды в частном доме от бойлера";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"система рециркуляции горячей воды в частном доме схема";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"как сделать рециркуляцию горячей воды на двухконтурном котле";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"схема гвс в многоквартирном доме с циркуляцией";5;18;16;0;6;9;7;0;10;14;9;17;0;0;0;8
"рециркуляция гвс в квартире";21;25;9;0;14;27;24;10;10;15;9;0;0;0;33;14
"как сделать рециркуляцию горячей воды в частном доме правильно от бойлера";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"схема циркуляции горячей воды в частном доме с бойлером";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"водонагреватель накопительный с рециркуляцией горячей воды";10;9;0;0;0;0;10;11;7;0;10;12;9;0;8;6
"схема рециркуляции гвс с электрическим бойлером";13;16;12;0;15;18;7;9;10;23;0;0;0;0;7;6
"циркуляция горячей воды в многоквартирном доме принцип работы";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"электрический водонагреватель с рециркуляцией горячей воды";25;22;17;12;19;9;19;11;22;19;14;22;14;8;0;14
"рециркулятор горячей воды";9;9;9;9;11;6;14;7;12;25;14;8;0;0;0;0
"циркуляционный трубопровод горячего водоснабжения это";8;17;15;15;14;19;9;9;0;0;8;16;11;9;11;21
"система циркуляции горячей воды в частном доме схема";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"рециркуляция воды это простыми словами";0;14;10;9;6;0;12;9;0;10;17;10;0;7;8;7
"рециркуляция горячей воды в частном доме от двухконтурного котла";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"как устроена циркуляция горячей воды в многоквартирном доме";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"температура отопления";44360;45971;37415;42427;29577;15259;15321;22900;67722;78737;65110;89692;79592;53896;46509;43873
"регулировка отопления";8129;7559;4818;4606;2676;2270;2331;3591;8265;15006;11178;13182;12021;7856;5068;4025
"регулировка тепла";7201;6428;3751;2925;2499;1945;1818;3108;6503;10945;10366;12839;10907;6248;3578;2960
"температура в системе отопления";5901;5469;4152;5095;3266;2997;3396;3453;5570;9119;8001;10742;9790;6295;4147;3125
"температура воды в отоплении";4616;6332;4076;4960;4159;2263;2356;2374;4894;7665;7960;9635;8353;6162;6720;5671
"температура в трубах отопления";2523;4114;2676;3195;2802;706;722;653;2032;3074;4381;4749;4887;4166;5230;4302
"температура воды в трубах отопления";2081;3605;2185;2860;2567;517;486;414;1580;2289;3606;3620;3632;3394;4806;3974
"температура теплоносителя в системе отопления";1789;1577;1139;1290;885;775;926;918;1254;2192;2405;3627;3451;2063;1187;842
"температура воды в системе отопления";1307;1469;1131;1410;1155;1377;1532;1450;2169;2922;1822;2230;1977;1170;962;900
"регулировка системы отопления";1193;991;804;844;506;475;414;547;1181;1913;1314;1611;1286;1092;756;715
"температура теплоносителя в системе отопления нормы";670;566;269;195;109;105;81;106;228;699;723;1252;1208;645;183;94
"температура в системе отопления частного дома";691;560;229;157;93;54;72;155;352;670;711;1089;1075;533;196;111
"температурный режим отопления";530;572;420;437;315;153;119;139;505;1024;876;861;678;512;408;429
"температура теплоносителя в зависимости от наружной температуры";419;432;275;170;0;0;0;73;150;383;468;782;617;481;341;178
"температурный график теплоносителя";387;419;321;315;243;207;159;179;198;437;580;675;601;431;373;336
"температура теплоносителя в системе отопления частного дома";249;205;0;44;0;0;24;49;127;275;358;566;573;293;78;51
"максимальная температура теплоносителя в системе отопления";62;71;40;64;51;32;29;30;52;82;94;192;261;166;40;35
"средняя температура теплоносителя";338;210;262;293;389;335;107;73;112;330;287;392;188;199;195;223
"параметры теплоносителя системы отопления";210;215;203;220;174;149;133;127;84;224;249;272;144;189;243;161
"какая температура теплоносителя должна быть в системе отопления частного дома";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"расчетная температура теплоносителя";135;133;151;125;119;129;50;93;159;191;197;226;160;171;153;129
"температура котла для отопления в частном";151;174;61;32;18;19;18;39;112;129;131;272;278;83;61;20
"температура теплоносителя в батареях отопления в частном доме";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"температурный режим теплоносителя";97;84;65;104;100;76;57;57;87;125;163;188;130;90;89;62
"температура воды в системе отопления многоквартирного дома";57;108;39;0;19;0;0;31;38;105;147;175;149;90;35;32
"температура теплоносителя в радиаторах отопления";63;56;55;33;44;16;20;23;40;127;124;145;114;89;42;46
"качественное регулирование теплоносителя";69;76;209;96;157;82;81;48;56;116;165;136;54;91;146;88
"температура на входе и выходе системы отопления по нормативу";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"что такое уставка температуры";12;12;15;16;15;5;12;8;15;23;14;24;9;13;15;9
"автоматическое регулирование температуры теплоносителя в системе отопления";15;28;22;66;96;0;341;0;164;52;26;19;14;18;0;0
"температура воды в системе водяного отопления не должна превышать";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"как регулируется отопление в многоквартирном доме в зависимости от температуры";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"аварийное отопление";5152;5221;3789;3074;1854;1453;1732;1808;5228;9936;6796;9242;9158;7701;4197;3225
"резервный источник теплоснабжения это";0;12;9;10;0;7;10;8;7;9;12;0;0;32;46;15
"резервирование систем теплоснабжения";19;32;41;39;31;31;82;105;119;78;17;28;25;33;26;21
"котел ангара";839;955;883;623;743;462;486;560;1279;1283;927;1006;990;728;578;686
"отопление для ангара";136;189;121;107;113;163;133;190;275;318;312;216;178;173;111;110
"отопление ангара 500 м2 варианты и стоимость";9;7;5;5;13;8;5;7;24;14;16;12;0;9;0;0
"блок управления бойлером";277;303;267;327;469;399;478;354;371;372;336;318;239;217;256;301
"напор циркуляционного насоса";1225;1392;1181;973;999;1091;1283;1300;1599;2498;2087;2156;1560;1521;1398;1284
"скорость в системе отопления";1693;1498;835;532;536;463;435;483;931;1751;1981;2468;2160;1332;635;492
"на какой скорости должен работать насос отопления";944;684;195;0;69;0;0;0;327;754;863;1260;1208;490;174;0
"регулировка циркуляционного насоса";665;573;345;239;160;177;163;250;482;854;735;935;845;503;238;242
"на какой скорости должен работать циркуляционный насос в системе отопления";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"какую скорость ставить на циркуляционном насосе отопления";216;146;64;0;0;0;0;0;118;262;243;445;482;195;65;60
"какая скорость насоса в газовом котле";0;217;117;57;44;42;22;56;166;387;379;502;399;207;81;58
"на какой скорости должен работать циркуляционный насос в системе отопления в частном";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"на какой скорости должен работать циркуляционный насос в системе отопления в частном доме";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"скорость теплоносителя в системе отопления";229;267;238;166;173;190;151;130;213;262;347;249;273;312;165;130
"скорость в трубах отопления";221;193;195;228;323;158;134;181;280;413;328;322;212;196;176;229
"циркуляционный насос как настроить";225;170;123;110;60;97;49;85;170;327;275;367;348;163;81;111
"рабочая температура циркуляционного насоса";88;109;91;106;58;48;79;102;144;260;202;157;121;140;74;109
"сколько электроэнергии потребляет циркуляционный насос";116;119;58;34;24;25;30;29;68;114;136;162;149;126;95;67
"потребление насоса для отопления циркуляционного";110;99;70;45;27;32;38;33;87;205;185;134;162;128;88;52
"на какой скорости должен работать насос в газовом котле";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"на какой скорости должен работать циркуляционный насос в газовом котле";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"скорость потока в системе отопления";90;86;76;30;29;29;22;35;59;90;138;127;99;109;62;43
"пропускная способность циркуляционного насоса";49;108;76;57;45;28;59;49;76;107;74;55;65;62;43;69
"на какую скорость ставить циркуляционный насос в газовом котле";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"на какой скорости должен работать циркуляционный насос теплого пола";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"на какую скорость ставить насос для отопления частного дома";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"на какой скорости должен стоять насос отопления";0;0;0;0;0;0;0;0;0;0;57;120;93;32;17;0
"должен ли циркуляционный насос работать постоянно";41;36;27;11;5;0;14;34;68;65;65;79;50;44;32;15
"на какую скорость ставить циркуляционный насос на теплый пол";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"циркуляционный напор в системе отопления";101;67;59;35;50;42;32;35;52;97;72;77;70;40;48;44
"на что влияет скорость циркуляционного насоса в системе отопления";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"настройка циркуляционного насоса в системе отопления";41;38;15;7;7;0;0;0;32;35;59;62;55;21;6;0
"как рассчитать циркуляционный насос для системы отопления";87;71;38;31;23;26;25;56;67;0;45;58;59;0;0;40
"на каком режиме должен работать циркуляционный насос";0;31;0;0;0;0;0;0;0;37;56;52;75;0;0;0
"как проверить работу циркуляционного насоса в системе отопления в частном доме";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"как регулировать насос на отопление в частном доме";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"какое давление создаёт циркуляционный насос для отопления";17;21;12;18;28;19;27;13;27;18;36;20;29;25;21;15
"на какую скорость ставить циркуляционный насос на теплый пол водяной";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"на какой скорости держать насос отопления";24;26;9;0;0;0;0;0;0;0;0;0;33;19;0;0
"какая скорость насоса должна быть в системе отопления частного дома";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"управление циркуляционным насосом отопления по температуре";20;16;9;6;25;17;6;11;46;24;21;34;24;20;7;6
"регулировка циркуляционного насоса в газовом котле";26;12;16;15;0;0;0;0;20;37;32;45;46;14;7;0
"на какой скорости должен работать циркуляционный насос в системе отопления теплого пола";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"циркуляционный насос с регулировкой скорости";34;21;24;7;15;23;16;28;18;66;24;28;33;15;9;17
"как нельзя ставить циркуляционный насос для отопления";38;27;12;0;0;9;0;13;17;36;19;14;21;14;10;9
"температура циркуляционного насоса при работе";20;16;10;15;8;0;0;13;35;35;32;44;26;16;13;12
"как должен работать циркуляционный насос в системе отопления постоянно или нет";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"на какой скорости должен работать циркуляционный насос в системе отопления электрокотла";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"оптимальная скорость теплоносителя в системе отопления";11;16;19;0;0;0;0;7;15;18;27;6;13;12;8;13
"какое давление дает циркуляционный насос для отопления";11;10;0;6;6;6;6;10;17;2;12;11;14;8;5;0
"насос системы отопления дома с регулировкой";0;0;0;0;0;0;0;0;24;15;0;0;0;0;0;0
"когда включать насос при отоплении в частном доме";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"минимальная скорость теплоносителя в системе отопления";8;13;23;11;10;12;10;13;27;17;42;6;0;9;5;0
"насос системы отопления дома с регулировкой скорости";0;8;0;0;0;5;6;10;19;11;0;20;18;10;0;12
"какое давление может создать циркуляционный насос для отопления";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"в каком положении должен работать циркуляционный насос отопления частном доме";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"допустимая скорость теплоносителя в системе отопления";12;9;11;16;10;20;11;12;15;0;35;10;10;9;5;8
"емкостной водонагреватель";1286;1755;1552;1523;1589;1276;1450;1271;1258;1518;1363;1468;1134;1207;1459;1390
"водоподогреватель емкостной";178;228;205;199;170;166;175;161;143;144;122;133;113;73;107;140
"скоростной водонагреватель";167;148;101;100;194;248;136;83;75;108;129;145;80;107;133;141
"скоростник для нагрева воды";40;22;17;15;24;15;18;14;9;27;7;25;16;14;19;22
"скоростной водонагреватель водяной";14;7;6;12;38;26;16;9;6;10;13;27;18;7;11;23
"емкостные водоподогреватели что это";11;8;7;12;8;13;15;12;4;6;4;15;5;0;0;5
"профилактика водонагревателя";48;73;78;71;85;123;114;81;100;90;64;36;42;42;52;57
"как обслуживать водонагреватель накопительный";29;26;8;25;36;28;32;23;23;31;32;17;23;22;19;22
"как утеплить бойлер косвенного нагрева";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ручная система";13500;17187;17806;16309;15545;12720;11296;10706;20021;25336;22055;22742;14638;19035;20560;18815
"система управления котлом";1958;1692;1231;1211;958;892;918;1238;1943;3064;2403;2522;2110;2016;1254;1064
"управление котельной";1402;1605;1560;1599;1548;1327;1363;1483;1923;2261;1600;1703;1169;1191;1432;1575
"срок службы котлов";4374;5595;5215;4013;3301;3237;3690;4435;4505;5677;4747;4642;5270;5509;5502;5121
"срок службы электрокотла";85;48;35;32;48;42;36;60;52;56;82;68;80;49;71;51
"как отрегулировать бойлер";208;200;193;159;330;282;217;197;139;156;175;220;193;124;169;155
"регулировка температуры бойлера";218;210;204;173;266;281;211;140;204;188;196;189;190;187;192;178
"какую температуру выставить на бойлере";80;59;65;68;117;102;120;107;68;73;73;58;93;73;53;72
"какую температуру ставить на бойлере";57;58;59;50;66;108;88;70;65;66;80;84;67;59;53;42
"регулировка нагрева тэна";45;39;34;22;29;54;32;34;50;51;19;34;29;36;52;37
"как регулировать температуру воды в проточном водонагревателе";0;16;0;7;27;43;32;24;13;0;0;6;0;10;12;14
"как поднять температуру в бойлере";0;0;0;0;0;5;11;0;0;0;0;0;0;0;0;8
"обслуживание электрокотла";387;881;1535;2703;1410;1069;1317;849;918;681;515;587;286;223;192;221
"обслуживание электрического котла";191;209;128;167;142;136;138;249;314;338;267;293;203;237;156;133
"то котла что входит";169;177;178;127;142;114;115;161;222;225;223;205;140;183;188;179
"обслуживание электрокотлов отопления";31;67;29;20;21;39;14;40;81;60;31;40;32;33;22;44
"обслуживание электрических котлов отопления";35;49;24;35;28;17;22;46;55;90;68;56;37;35;39;22
"расчет бака аккумулятора";117;99;103;108;103;77;78;74;76;74;70;52;41;71;81;68
"утеплитель для бойлера";8;17;13;6;14;15;21;10;16;31;33;35;6;25;7;13
"тепловая нагрузка";9853;10659;11670;11049;9846;10229;9465;8438;10273;12790;11719;11792;7537;9045;10651;10314
"расчет тепловой нагрузки";1948;2526;2305;2317;1954;1988;2170;2016;1985;2522;2280;2146;1502;2014;1978;1932
tн;1406;1293;1575;1767;1345;1113;568;525;1102;1813;1574;1671;1026;984;1263;1403
"тепловая нагрузка здания";1047;1057;976;1033;785;921;876;818;845;1157;1110;990;786;842;860;870
"тепловая нагрузка на отопление";922;1053;1108;1021;744;839;1008;890;848;1234;1096;907;677;722;793;707
"расчетная тепловая нагрузка";409;519;408;441;379;406;797;556;777;824;966;749;426;523;775;648
"расчет нагрузки на отопление";573;691;598;676;442;507;674;534;534;756;651;601;398;471;443;442
"расчет тепловой нагрузки на отопление";440;545;467;495;349;364;510;404;366;535;476;431;309;372;309;314
"отопительный коэффициент";410;446;631;563;410;393;279;396;433;550;446;563;397;259;409;380
"формула тепловой нагрузки";284;343;367;327;381;296;236;228;252;398;373;375;259;300;329;308
"расчет тепловой нагрузки на отопление здания";245;312;259;285;206;223;293;210;178;293;273;214;189;207;152;184
"как рассчитать тепловую нагрузку";183;266;193;243;170;170;255;231;216;285;243;230;143;238;207;221
"удельная тепловая нагрузка";165;166;241;231;216;280;177;129;195;221;204;281;161;172;193;206
"формула расчета тепловой нагрузки";83;129;100;130;108;90;119;82;80;108;152;130;104;102;106;128
"расчет тепловой нагрузки на отопление здания по объему";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"базовый показатель тепловой нагрузки";44;91;79;73;56;77;97;54;70;65;78;95;23;50;78;46
"таблица тепловых нагрузок";86;71;105;74;76;86;87;54;93;111;96;80;49;76;89;80
"расчет тепловой нагрузки по укрупненным показателям";36;69;70;46;56;49;33;53;94;54;42;64;73;48;64;60
"расчетная тепловая нагрузка на отопление";67;52;52;68;53;77;56;56;68;99;116;49;42;45;50;40
"расчет максимальной тепловой нагрузки";33;68;38;69;47;34;33;28;38;71;55;60;33;52;59;58
"присоединенная тепловая нагрузка это";6;18;13;11;16;7;11;14;6;5;11;16;8;52;13;21
"расчет по укрупненным показателям отопления";85;83;85;69;68;58;68;80;105;74;55;53;46;40;75;63
"тепловая нагрузка системы теплоснабжения это";16;15;24;27;14;16;20;22;26;22;40;26;23;22;38;27
"как посчитать тепловую нагрузку на отопление";12;25;12;13;11;15;15;10;16;24;16;25;26;19;14;17
"коэффициент инфильтрации здания в расчете тепловой нагрузки";23;54;28;22;27;11;12;17;34;33;20;34;23;19;15;14
"расчет потребности тепла на отопление здания в гкал";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"расход тепла на отопление по укрупненным показателям";0;40;0;49;0;24;0;19;14;0;0;0;38;15;35;0
"формула расчета тепловой нагрузки на отопление здания";10;26;0;21;19;25;17;14;16;18;19;24;15;13;16;21
"к сезонным тепловым нагрузкам относятся";50;29;56;54;95;69;13;12;31;33;34;39;15;29;35;42
"объем системы отопления по нагрузке";24;32;28;32;44;47;44;48;27;30;20;22;13;13;17;17
"как посчитать отапливаемый объем здания";9;23;21;43;31;16;12;18;21;24;19;8;13;20;29;48
"расчет нагрузки на отопление по укрупненным показателям";45;20;21;29;0;19;16;13;44;25;22;17;14;13;36;18
"расчет потребления тепла по объему здания";14;9;15;13;8;11;8;9;17;20;9;10;9;16;15;19
"тепловая нагрузка единицы измерения";30;43;26;27;23;21;27;25;14;24;34;52;9;0;0;0
"методика расчета тепловой нагрузки на отопление здания";11;28;9;13;7;11;13;3;26;10;15;25;0;7;9;0
"максимальная тепловая нагрузка на отопление гкал час";18;16;11;18;0;11;20;0;6;17;0;10;0;13;28;14
"расчет по укрупненным показателям отопления и вентиляции";8;0;20;0;25;0;9;27;22;16;13;13;0;0;24;0
"базовый показатель тепловой нагрузки указанный в договоре гкал ч как рассчитать";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"как рассчитать тепловую нагрузку на отопление по объему здания";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"объем отапливаемого помещения м3 формула";0;7;0;6;0;0;7;0;0;0;0;0;0;0;0;0
"полная тепловая нагрузка системы отопления";0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0
"нужно ли разрешение на установку электрокотла";22;36;11;17;19;24;36;31;28;41;20;36;41;23;16;18
"нужно ли разрешение на электрокотел в частном доме";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"приямок в котельной";70;73;60;81;52;39;29;39;37;55;55;33;23;35;67;79
"сколько нужно розеток в котельной";36;26;29;55;65;56;49;50;53;39;38;11;26;17;41;40
"выходные двери из котельного помещения должны открываться";13;33;12;9;12;10;15;15;40;44;31;19;7;0;8;11
"на какой высоте вешать электрокотел";24;38;28;25;30;21;26;31;46;65;33;14;12;10;9;11
"высота установки электрокотла";17;0;5;0;11;10;12;0;11;13;22;18;12;13;10;8
"расстояние от газового котла до электрокотла";23;15;20;14;13;23;23;28;12;27;15;0;0;0;12;22
"стиральная машина в котельной в частном доме можно или нет";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"в каком случае допускается открывать кожух электрического котла";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"высота установки электрического котла";8;7;8;11;0;0;0;0;16;23;15;11;7;7;8;0
"можно ли ставить электрощит в котельной";22;11;11;14;13;18;8;8;18;9;13;10;6;8;13;12
"электрика в котельной в частном доме с газовым котлом";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"какие требования техники безопасности необходимо соблюдать при работе с электрическими котлами";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"можно ли ставить электрокотел горизонтально";6;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0
"розетка для котла отопления требования";0;5;0;7;0;0;9;8;0;8;5;5;0;5;8;6
"неисправность водонагревателя";1882;1662;1700;1844;2863;2943;2732;2097;1823;1880;1736;1723;1784;1520;1687;1846
"водонагреватель не работает";1846;1791;1934;1995;3849;3901;3535;2495;1956;1826;1806;1679;1971;1497;1543;1915
"бойлер не работает";1284;1178;1218;1189;1938;2140;1768;1673;1238;1399;1309;1417;1440;1145;1125;1270
"причины неисправности водонагревателя";261;311;263;345;672;817;945;732;628;560;547;578;720;607;615;710
"неисправности бойлера";521;419;403;479;680;691;717;668;644;620;629;595;587;530;477;642
"поломки водонагревателя";360;404;385;457;640;543;533;400;392;437;444;375;333;325;310;365
"бойлер перестал работать";238;238;230;217;388;410;413;267;260;237;238;249;276;182;201;263
"перестал работать водонагреватель";299;284;253;312;558;594;607;516;320;300;303;290;290;254;302;293
"водонагреватель не работает причины";254;327;321;333;627;583;557;385;369;278;308;257;335;215;229;307
"поломки бойлера";213;199;190;214;248;285;242;195;174;172;189;196;171;181;168;158
"пищит водонагреватель";198;171;186;167;328;322;410;315;238;184;205;175;164;133;138;185
"водонагреватель причины поломки";118;148;164;193;228;180;187;146;161;155;154;144;126;107;105;168
"причины списания водонагревателя";101;129;152;140;108;93;112;76;133;169;219;180;63;112;151;172
"бойлер включается и выключается";85;92;61;67;105;79;110;76;107;68;56;74;75;149;59;62
"перестал включаться бойлер";59;47;55;64;99;131;100;95;52;58;67;53;65;56;45;58
"не работает бойлер в чем причина";45;56;54;47;64;75;59;46;58;54;53;53;52;31;43;46
"перестал работать водонагреватель причины";51;41;55;68;67;89;119;72;68;67;33;45;48;49;47;56
"сломался водонагреватель что делать";31;38;52;38;49;86;55;35;21;32;34;37;64;30;41;17
"почему перестал работать водонагреватель";21;18;28;39;51;42;42;44;34;23;25;37;23;33;32;26
"как понять что бойлер сломался";0;0;25;15;23;16;24;0;16;18;10;9;27;13;27;9
"что может сломаться в бойлере";16;15;7;17;28;20;11;11;19;27;23;14;13;26;20;12
"почему не работает бойлер электрический";50;31;21;35;67;37;50;37;30;33;31;37;37;24;31;38
"не работает бойлер причины неисправности";4;0;10;18;28;29;28;28;18;42;18;18;20;25;17;25
"не течет горячая вода из бойлера причины";0;0;0;0;19;13;12;13;15;0;0;10;30;4;0;0
"как понять что водонагреватель сломался";24;0;24;10;33;23;11;18;14;17;6;14;21;11;11;12
"бойлер перестал работать в чем причина";0;0;0;0;0;0;13;17;7;0;10;10;14;7;4;15
"перестал работать бойлер причины как проверить";7;0;13;11;14;15;34;15;16;8;6;16;13;8;7;12
"что может сломаться в водонагревателе";26;22;16;31;36;47;38;58;32;26;26;23;18;13;30;13
"дефекты водонагревателя для списания";0;8;10;10;0;6;6;9;6;16;20;14;3;18;7;18
"почему бойлер свистит периодически";2;0;0;3;0;12;11;10;9;5;15;13;8;8;14;5
"как понять что бойлер неисправен";13;12;11;14;21;26;14;17;9;22;13;12;6;8;16;11
"причины поломки бойлера для нагрева воды";6;17;6;0;0;9;8;12;5;12;6;13;7;3;13;6
"причины выхода из строя водонагревателя для списания";0;10;6;0;0;0;0;0;0;0;7;0;0;0;0;0
"нет искры в водонагревателе";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"как понять что бойлер перегорел";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"причины списания водонагревателя в акте на списание примеры";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"принцип работы регулятора давления воды";482;465;399;408;476;437;373;493;580;719;885;701;812;585;535;446
"принцип работы редуктора давления";515;448;521;514;651;506;486;493;593;558;643;559;578;642;527;593
"принцип работы регулятора давления воды в квартире";285;274;211;198;281;0;181;301;341;497;638;514;627;427;331;239
"как работает редуктор давления";527;436;530;412;531;538;439;359;418;586;494;508;490;448;392;494
"редуктор давления воды для чего";479;488;525;489;494;434;434;461;420;557;539;469;503;424;478;466
"редуктор давления это";369;447;494;421;383;444;391;379;385;499;434;402;394;429;492;439
"редуктор давления воды принцип работы";341;273;287;315;436;320;277;266;402;383;381;345;416;447;342;390
"устройство редуктора давления";378;427;397;420;379;378;328;295;373;384;442;454;341;379;336;404
"редуктор давления для чего нужен";389;383;388;412;436;394;334;363;363;361;447;396;380;357;390;336
"редуктор для воды для чего нужен";321;290;306;317;348;290;259;311;307;321;367;341;317;292;342;273
"как работает редуктор давления воды";343;264;273;238;342;304;242;217;262;349;308;312;301;253;263;294
"редуктор давления воды поршневой или мембранный";163;170;192;172;183;195;187;158;201;220;216;237;251;238;246;226
"что делает редуктор давления воды";235;182;218;127;203;283;274;195;171;195;217;185;242;244;235;193
"редуктор давления для воды для чего нужен";265;249;270;261;288;243;209;242;239;237;292;252;242;217;247;185
"редуктор давления воды в частном доме";329;272;283;364;318;324;268;285;315;261;324;263;270;223;230;275
"зачем нужен редуктор давления";243;241;227;233;267;216;214;230;162;214;222;248;206;218;239;190
"как работает регулятор давления воды";319;237;237;258;247;240;231;229;226;241;197;224;216;160;252;257
"редуктор давления воды в квартире зачем";151;149;120;116;125;127;133;137;107;145;158;197;157;176;187;123
"устройство регулятора давления воды";228;237;238;205;165;141;146;192;122;145;148;146;155;148;161;191
"редуктор давления для отопления";134;127;105;99;63;89;55;84;103;161;141;169;112;113;77;67
"редуктор давления воды схема";174;108;132;130;144;125;110;147;165;135;138;127;151;119;171;121
"для чего редуктор давления воды в квартире";122;123;126;121;96;86;120;120;103;128;117;138;144;0;98;112
"редуктор для воды в квартире для чего нужен";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"редуктор давления для чего нужен в квартире";92;90;88;92;0;72;74;86;103;0;115;117;131;0;0;0
"устройство редуктора давления воды";163;164;131;160;144;145;155;103;138;129;157;133;119;133;112;132
"как разобрать редуктор давления воды";112;91;85;67;102;105;55;80;82;72;67;73;106;78;103;93
"редуктор давления виды";92;131;95;158;74;75;109;104;84;123;115;99;75;87;85;86
"как работает редуктор давления воды в системе";72;0;0;0;92;46;50;55;59;87;70;0;90;66;0;0
"как работает редуктор давления воды в системе водоснабжения";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"редуктор давления назначение";87;106;123;96;102;89;43;66;89;90;80;136;55;83;77;123
"редуктор давления воды в квартире для чего нужен";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"принцип работы редуктора давления воды в системе водоснабжения";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"как работает редуктор давления воды в квартире";79;33;43;28;52;44;31;40;51;54;45;64;59;45;56;42
"редуктор для воды принцип работы";67;72;60;76;105;87;57;70;73;78;72;84;82;55;84;93
"принцип работы регулятора давления воды в системе водоснабжения";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"редуктор в сантехнике что это";26;28;25;20;28;22;31;37;25;32;33;44;42;39;38;32
"где находится редуктор давления воды";33;35;30;31;30;37;40;33;21;27;31;34;42;42;32;28
"редуктор на воду в квартире для чего";27;22;0;0;0;0;12;0;32;0;0;39;0;42;52;47
"принцип работы мембранного редуктора давления воды";23;12;20;18;47;9;13;15;26;44;20;27;37;27;21;30
"как устроен редуктор давления воды";43;29;51;35;48;26;31;21;30;34;36;35;42;26;27;40
"как работает регулятор давления воды в системе водоснабжения";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
